City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,les cayes,18.2,-73.75,32.1,55,28,5.13,HT,1724609798
348,dakhla,23.6848,-15.958,23.01,78,65,12.35,EH,1724609800
349,tofol,5.3248,163.0078,28.46,69,100,2.34,FM,1724609801
350,solnechnyy,50.7214,136.6319,14.12,92,100,2.11,RU,1724609802
351,soio,-6.1349,12.3689,22.32,83,52,3.51,AO,1724609804
352,gaspe,48.8334,-64.4819,24.12,60,20,7.2,CA,1724609526
353,sysert',56.4953,60.8192,9.99,75,57,2.32,RU,1724609807
354,kidal,18.4411,1.4078,30.06,50,48,12.61,ML,1724609808
355,zhangjiakou,40.81,114.8794,17.72,93,100,2.93,CN,1724609809
356,porto velho,-8.7619,-63.9039,30.03,42,44,5.14,BR,1724609636
357,happy valley-goose bay,53.3168,-60.3315,30.17,30,40,3.6,CA,1724609567
358,biloela,-24.4167,150.5,15.25,87,0,1.14,AU,1724609813
359,estevan,49.1334,-102.9842,25.11,36,0,6.17,CA,1724609814
360,bocaiuva,-17.1078,-43.815,34.47,14,0,1.56,BR,1724609815
361,nizhniy ingash,56.2,96.53,15.96,85,99,1.38,RU,1724609816
